ato_bad|unit_weight|radd_timezone_3_2|radd_max_pmt_s_3|SNR1wRtDolDclTxn|max_cross20wRtDclAcc|login_VIDMatch|seg|dollar_weight|ip_asp_spoof_txns|vid_asp_spoof_txns|Intercept|time_window|wSNR1wRtDolDclTxn_s1|wip_asp_spoof_txns_s1|wlogin_VIDMatch_s1|wmax_cross20wRtDclAcc_s1|wradd_max_pmt_s_3_s1|wradd_timezone_3_2_s1|wvid_asp_spoof_txns_s1|new_score|align_new_score|wSNR1wRtDolDclTxn_s2|wip_asp_spoof_txns_s2|wlogin_VIDMatch_s2|wmax_cross20wRtDclAcc_s2|wradd_max_pmt_s_3_s2|wradd_timezone_3_2_s2
0|2||132.94|0.0655|0.0355|1|1|52|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.098116|0.043156|-0.199666|-0.090233|8.6925613435|344||||||
0|500||133.37|0.0655|0.0894|1|1|85000|0|0|1|DEV|0.089438|-0.119505|-0.134574|0.316717|0.043156|-0.199666|-0.090233|8.37993596|362||||||
0|25|-400|238.00|0|0.0365|0|1|175|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|-0.203081|0.355722|-0.090233|8.2633490665|369||||||
0|10||55.66|0|0.0357|2|1|160|0|0|1|DEV|-0.105449|-0.119505|1.153454|-0.098116|0.043156|-0.199666|-0.090233|7.6107293193|407||||||
0|400||105.92|0.0655|0.0466|1|1|40800|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.6480082341|347||||||
0|100||251.10|0|0.0526|0|2|700|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|8.7185491312|343||||||
0|400||262.64|0|0.125|1|1|800|0|0|1|DEV|-0.105449|-0.119505|-0.134574|0.316717|-0.203081|-0.199666|-0.090233|8.773611548|339||||||
0|1000||466.67|0|0.0769|0|1|8000|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|-0.203081|-0.199666|-0.090233|8.4504768572|358||||||
0|25||422.40|0|0.0389|1|1|550|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|-0.203081|-0.199666|-0.090233|9.0416838221|324||||||
1|1|||0.0655|0.4286|2|2|3599|0|0|1|DEV|0.089438|-0.119505|1.153454|0.316717|0.85329|-0.199666|-0.090233|6.2995001439|482||||||
